time,gFx,gFy,gFz,TgF
6.75052E-4,-0.5049,0.6534,0.5357,0.984
8.89271E-4,-0.5001,0.6534,0.5318,0.980
0.002437708,-0.4952,0.6536,0.5272,0.975
0.005189844,-0.4908,0.6539,0.5225,0.970
0.007044479,-0.4866,0.6544,0.5176,0.966
0.009477552,-0.4842,0.6556,0.5135,0.963
0.012519375,-0.4837,0.6568,0.5108,0.962
0.014511302,-0.4844,0.6580,0.5096,0.963
0.017023177,-0.4864,0.6590,0.5098,0.965
0.018932292,-0.4893,0.6600,0.5106,0.967
0.0215225,-0.4930,0.6607,0.5115,0.970
0.025124583,-0.4961,0.6614,0.5127,0.973
0.025793281,-0.4991,0.6622,0.5142,0.976
0.028348906,-0.5018,0.6632,0.5157,0.978
0.032293802,-0.5044,0.6639,0.5176,0.981
0.033155729,-0.5054,0.6641,0.5198,0.983
0.035319375,-0.5059,0.6644,0.5210,0.984
0.03756724,-0.5054,0.6641,0.5215,0.984
0.040192656,-0.5042,0.6636,0.5213,0.983
0.042282761,-0.5030,0.6629,0.5208,0.982
0.04533474,-0.5027,0.6617,0.5203,0.980
0.046955052,-0.5027,0.6600,0.5203,0.979
0.049303542,-0.5030,0.6585,0.5213,0.979
0.051762292,-0.5032,0.6575,0.5232,0.979
0.05389974,-0.5032,0.6570,0.5262,0.981
0.056242448,-0.5035,0.6575,0.5311,0.984
0.05875099,-0.5037,0.6590,0.5369,0.988
0.061174636,-0.5037,0.6610,0.5440,0.993
0.064761875,-0.5037,0.6632,0.5516,0.999
0.066813333,-0.5037,0.6651,0.5599,1.005
0.069751406,-0.5040,0.6680,0.5684,1.012
0.070538386,-0.5042,0.6707,0.5767,1.018
0.072859063,-0.5035,0.6729,0.5853,1.024
0.075077344,-0.5018,0.6744,0.5938,1.029
0.077522969,-0.5001,0.6751,0.5999,1.032
0.079808021,-0.4964,0.6754,0.6041,1.033
0.082110521,-0.4893,0.6759,0.6046,1.030
0.08539875,-0.4793,0.6766,0.6072,1.028
0.086747188,-0.4725,0.6751,0.6163,1.029
0.089171563,-0.4666,0.6734,0.6253,1.031
0.091414375,-0.4603,0.6710,0.6312,1.030
0.094050833,-0.4527,0.6671,0.6341,1.026
0.096464896,-0.4436,0.6622,0.6334,1.018
0.098522656,-0.4334,0.6568,0.6302,1.008
0.101146927,-0.4217,0.6514,0.6256,0.997
0.103129323,-0.4092,0.6458,0.6219,0.986
0.105969323,-0.3977,0.6407,0.6187,0.975
0.107883854,-0.3887,0.6358,0.6148,0.966
0.110191146,-0.3809,0.6319,0.6111,0.958
0.113120052,-0.3743,0.6290,0.6099,0.953
0.115194896,-0.3682,0.6268,0.6109,0.950
0.11742474,-0.3628,0.6248,0.6131,0.948
0.119993542,-0.3570,0.6234,0.6158,0.946
0.122016094,-0.3504,0.6214,0.6190,0.944
0.125623333,-0.3426,0.6194,0.6238,0.944
0.126605885,-0.3343,0.6170,0.6285,0.942
0.12972599,-0.3269,0.6143,0.6314,0.940
0.131300052,-0.3211,0.6111,0.6326,0.936
0.13373974,-0.3164,0.6087,0.6339,0.934
0.13605875,-0.3128,0.6068,0.6353,0.933
0.138354115,-0.3096,0.6053,0.6378,0.932
0.140759688,-0.3069,0.6036,0.6412,0.933
0.143291771,-0.3045,0.6016,0.6458,0.934
0.146108594,-0.3033,0.6004,0.6505,0.936
0.148151302,-0.3030,0.5997,0.6546,0.938
0.150270156,-0.3028,0.5984,0.6585,0.940
0.152613906,-0.3018,0.5972,0.6632,0.942
0.154852656,-0.3006,0.5955,0.6661,0.943
0.157193854,-0.3001,0.5938,0.6671,0.942
0.159894844,-0.2996,0.5921,0.6675,0.941
0.162029635,-0.2986,0.5909,0.6680,0.941
0.165498021,-0.2974,0.5897,0.6693,0.940
0.170754792,-0.2954,0.5882,0.6715,0.940
0.171070729,-0.2920,0.5867,0.6756,0.941
0.171346146,-0.2879,0.5850,0.6802,0.942
0.173588125,-0.2813,0.5843,0.6873,0.945
0.176157135,-0.2762,0.5828,0.6964,0.949
0.178170573,-0.2749,0.5809,0.7022,0.952
0.180783958,-0.2735,0.5789,0.7081,0.955
0.183061927,-0.2676,0.5772,0.7161,0.958
0.18535974,-0.2591,0.5753,0.7264,0.962
0.187713125,-0.2500,0.5735,0.7374,0.967
0.190004271,-0.2415,0.5713,0.7471,0.971
0.192493229,-0.2307,0.5682,0.7552,0.973
0.194807969,-0.2168,0.5650,0.7616,0.973
0.197165208,-0.1992,0.5630,0.7650,0.971
0.199800208,-0.1787,0.5633,0.7659,0.967
0.201761719,-0.1580,0.5640,0.7645,0.963
0.205523177,-0.1382,0.5630,0.7637,0.959
0.206353229,-0.1184,0.5587,0.7637,0.954
0.20878625,-0.1001,0.5518,0.7620,0.946
0.211107083,-0.0828,0.5442,0.7579,0.937
