time,gFx,gFy,gFz,TgF
0.001732813,-0.0574,0.5447,0.7801,0.953
0.002127865,-0.0593,0.5430,0.7752,0.948
0.002376927,-0.0610,0.5425,0.7713,0.945
0.002594844,-0.0625,0.5452,0.7691,0.945
0.002781927,-0.0620,0.5455,0.7669,0.943
0.002967761,-0.0632,0.5467,0.7637,0.941
0.042881823,-0.0645,0.5464,0.7618,0.940
0.043290156,-0.0625,0.5467,0.7596,0.938
0.043478125,-0.0625,0.5469,0.7584,0.937
0.043653177,-0.0628,0.5457,0.7572,0.935
0.043823542,-0.0640,0.5411,0.7559,0.932
0.044002031,-0.0628,0.5391,0.7554,0.930
0.044175781,-0.0628,0.5364,0.7576,0.930
0.044336615,-0.0632,0.5325,0.7598,0.930
0.044495729,-0.0625,0.5296,0.7630,0.931
0.044663802,-0.0645,0.5262,0.7679,0.933
0.044816615,-0.0654,0.5245,0.7706,0.934
0.044993594,-0.0659,0.5223,0.7742,0.936
0.045171094,-0.0686,0.5186,0.7796,0.939
0.045334844,-0.0703,0.5147,0.7845,0.941
0.045503073,-0.0720,0.5140,0.7894,0.945
0.045674636,-0.0735,0.5101,0.7950,0.947
0.045833542,-0.0767,0.5084,0.7999,0.951
0.046008698,-0.0784,0.5066,0.8053,0.955
0.048426511,-0.0813,0.5037,0.8092,0.957
0.050567344,-0.0842,0.5049,0.8148,0.962
0.051746615,-0.0855,0.5049,0.8219,0.968
0.054084011,-0.0891,0.5030,0.8272,0.972
0.056436719,-0.0916,0.5018,0.8346,0.978
0.058792083,-0.0952,0.5032,0.8392,0.983
0.061366302,-0.0964,0.5035,0.8451,0.988
0.063568438,-0.0984,0.5027,0.8485,0.991
0.065795313,-0.1016,0.5025,0.8514,0.994
0.068089636,-0.1021,0.5003,0.8570,0.998
0.071769583,-0.1033,0.4983,0.8600,0.999
0.072913229,-0.1050,0.4993,0.8612,1.001
0.075548073,-0.1062,0.5001,0.8614,1.002
0.078264427,-0.1062,0.5001,0.8619,1.002
0.080321302,-0.1060,0.4998,0.8585,0.999
0.082478021,-0.1060,0.4983,0.8556,0.996
0.084647344,-0.1072,0.4974,0.8529,0.993
0.086937761,-0.1099,0.4983,0.8514,0.993
0.089228177,-0.1094,0.4952,0.8516,0.991
0.091513021,-0.1101,0.4959,0.8514,0.991
0.093905313,-0.1123,0.4959,0.8534,0.993
0.096254531,-0.1113,0.4969,0.8548,0.995
0.09872474,-0.1106,0.4971,0.8558,0.996
0.100931406,-0.1089,0.4949,0.8563,0.995
0.103751094,-0.1067,0.4927,0.8587,0.996
0.105734636,-0.1047,0.4903,0.8612,0.996
0.108025573,-0.1013,0.4888,0.8648,0.999
0.110372761,-0.0991,0.4869,0.8665,0.999
0.112769583,-0.0984,0.4832,0.8665,0.997
0.115353958,-0.0974,0.4783,0.8665,0.995
0.117933438,-0.0947,0.4764,0.8680,0.995
0.119678386,-0.0942,0.4742,0.8687,0.994
0.122293958,-0.0955,0.4734,0.8675,0.993
0.12448,-0.0942,0.4729,0.8678,0.993
0.126867708,-0.0933,0.4725,0.8675,0.992
0.129256927,-0.0913,0.4734,0.8690,0.994
0.131482969,-0.0923,0.4761,0.8683,0.995
0.133854219,-0.0906,0.4788,0.8700,0.997
0.136241458,-0.0928,0.4791,0.8702,0.998
0.138483958,-0.0930,0.4793,0.8709,0.998
0.141101094,-0.0947,0.4815,0.8709,1.000
0.143160729,-0.0957,0.4834,0.8714,1.001
0.145669115,-0.0957,0.4864,0.8707,1.002
0.148082917,-0.0957,0.4881,0.8707,1.003
0.150193438,-0.0950,0.4874,0.8712,1.003
0.152738125,-0.0964,0.4881,0.8702,1.002
0.155022865,-0.0969,0.4900,0.8692,1.003
0.157463698,-0.0964,0.4937,0.8695,1.005
0.159606615,-0.0952,0.4927,0.8695,1.004
0.161929531,-0.0938,0.4937,0.8700,1.005
0.164385261,-0.0935,0.4947,0.8690,1.004
0.166565365,-0.0925,0.4937,0.8668,1.002
0.168933438,-0.0918,0.4952,0.8651,1.001
0.17289974,-0.0886,0.4969,0.8636,1.000
0.174184688,-0.0901,0.4981,0.8619,1.000
0.176140573,-0.0886,0.4964,0.8597,0.997
0.178567708,-0.0899,0.4971,0.8573,0.995
0.181355208,-0.0877,0.4981,0.8551,0.993
0.183235104,-0.0908,0.4966,0.8546,0.993
